Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
,,,,,0,0,0,
5340 Nicoletta,9,8,,556,1,556,4448,
5425 Nicoletta,17,17,,745,0,0,12665,
5427 Nicoletta,12,12,,745,0,0,8940,
5441 Nicoletta,8,8,,470,0,0,3760,
5443 Nicoletta,10,10,,840,0,0,8400,
5445 Nicoletta,2,2,,825,0,0,1650,
5468 Nicoletta,1,1,,810,0,0,810,
5469 Nicoletta,4,3,,795,1,795,2385,
5483 Nicoletta,4,3,,800,1,800,2400,
5488 Micoletta,12,10,,700,2,1400,7000,
5492 Nicoletta,0,0,,725,0,0,0,
5493 Nicoletta,6,5,,795,1,795,3975,
5496 Nicoletta,18,18,,875,0,0,15750,
5497 Nicoletta,5,5,,775,0,0,3875,
5501 Nicoletta,4,4,,785,0,0,3140,
5504 Nicoletta,8,7,,830,1,830,5810,
5506 Nicoletta,7,7,,525,0,0,3675,
5508 Nicoletta,51,47,,600,4,2400,28200,
5509 Nicoletta,13,13,,795,0,0,10335,
5518 Nicoletta,18,18,,845,0,0,15210,
5519 Nicoletta,4,4,,875,0,0,3500,
5522 Nicoletta,7,6,,795,1,795,4770,
5523 Nicoletta,1,1,,845,0,0,845,
5528 Nicoletta,1,1,,950,0,0,950,
5531 Nicoletta,7,6,,825,1,825,4950,
5535 Nicoletta,8,8,,895,0,0,7160,
5536 Nicoletta,12,12,,825,0,0,9900,
5539 Nicoletta,12,12,,840,0,0,10080,
5540 Nicoletta,9,9,,835,0,0,7515,
5543 Nicoletta,15,14,,790,1,790,11060,
5545 Nicoletta,16,16,,775,0,0,12400,
,,,,,0,0,0,
ASL-1240 Nyx,2,2,,2000,0,0,4000,
CC-1018 Nyx,20,19,,1700,1,1700,32300,
CC-1277 Nyx,5,5,,1500,0,0,7500,
CC-1440 Nyx,13,13,,2050,0,0,26650,
CD-3222 Nyx,11,11,,2100,0,0,23100,
CD-14327 Nyx,7,6,,2400,1,2400,14400,
CD-7664 Nyx,7,6,,2300,1,2300,13800,
CDHK-9163 Nyx,2,2,,1000,0,0,2000,
CDJC-214 Nyx,16,16,,2050,0,0,32800,
CDJC-931 Nyx,7,7,,2350,0,0,16450,
EU-3090 Nyx,16,16,,1500,0,0,24000,
EU-3194 Nyx,9,9,,2000,0,0,18000,
NA-2692 Nyx,2,2,,1000,0,0,2000,
SP-8802 Nyx,4,4,,2850,0,0,11400,
SP-8815 Nyx,13,13,,1800,0,0,23400,
JE-2001 Nyx,9,8,,1800,1,1800,14400,
,,,,,0,0,0,
**001 Punto Bco.,8,8,,350,0,0,2800,
**306 Punto Bco.,1,1,,200,0,0,200,bajo Aidee
0714 Punto Blanco,1,1,,650,0,0,650,
**714 Punto Blanco,8,8,,750,0,0,6000,
**722 Pun.Blanco,63,63,,930,0,0,58590,
**722 Broche P.B.,2,2,,850,0,0,1700,
**722 EstampadoPB,1,1,,850,0,0,850,
0725 Punto Blanco,6,6,,530,0,0,3180,
**730 Punto Blanco,21,21,,930,0,0,19530,dev clienta
**750 Punto Blanco,7,7,,550,0,0,3850,bajo Aidee
**757 Punto Blanco,6,6,,650,0,0,3900,
**763 Punto Blanco,1,1,,600,0,0,600,
**765 Punto Bco.,28,23,,930,5,4650,21390,
**765 P.Bc0.bordad,7,7,,950,0,0,6650,
0770 Punto Blanco,4,4,,800,0,0,3200,
0770 Puno Blanco,2,2,,700,0,0,1400,
0771 Punto Blanco,3,3,,600,0,0,1800,
**772 Punto Blanco,2,2,,380,0,0,760,
**780 Punto Blanco,3,3,,780,0,0,2340,
**782 Punto Blanco,3,3,,500,0,0,1500,
**791 Punto Blanco,8,8,,820,0,0,6560,
**792 Punto Blanco,6,6,,780,0,0,4680,
**793 Punto Blanco,19,19,,400,0,0,7600,bajo Aidee
**794 Punto Blanco,8,7,,850,1,850,5950,
**796 Punto Blanco,20,20,,400,0,0,8000,bajo Aidee
**797 Punto Blanco,2,2,,800,0,0,1600,
**798 Punto Blanco ,5,5,,400,0,0,2000,
***799 Punto Blanc,5,5,,800,0,0,4000,
**802 Punto Blanco,4,3,,800,1,800,2400,
**804 Punto Blanco,1,1,,600,0,0,600,bajo Aidee
**807 Punto Blanco,13,13,,600,0,0,7800,bajo Aidee
**811 Punto Blanco,6,6,,860,0,0,5160,
**812 Punto Blanco,16,16,,850,0,0,13600,
**815 Punto Blanco,28,26,1,1100,1,1100,28600,
**816 Punto Blanco,4,4,,850,0,0,3400,
**819 Punto Blanco,43,39,,850,4,3400,33150,
**826 Punto Blanco,17,16,,750,1,750,12000,
**827 Punto Blanco,15,14,,800,1,800,11200,
**829 Punto Blanco,4,4,,850,0,0,3400,
**830 Punto Blanco ,3,3,,680,0,0,2040,
**831 Punto Blanco,3,3,,800,0,0,2400,
**832 Pun.Blanco,3,3,,680,0,0,2040,
**834 Pun.Blanco,36,30,1,930,5,4650,27900,
**835 Pun.Blanco,1,1,,830,0,0,830,
**837 Pun.Blanco,8,7,,700,1,700,4900,
**839 Pun Blanco,11,8,,800,3,2400,6400,
**840 Pun Blanco,12,12,,850,0,0,10200,
**841 Pun Blanco,5,5,,930,0,0,4650,
**842 Pun Blanco,1,1,,900,0,0,900,
**845 Pun. Blanco,10,10,,650,0,0,6500,
**Chal Pun.Blanco,20,20,,130,0,0,2600,
,,,,,0,0,0,
2096 Lessan,18,16,,540,2,1080,8640,
3711 Lessan,10,9,,830,1,830,7470,
3734 Lessan,9,9,,650,0,0,5850,
3819 Lessan,1,1,,750,0,0,750,
3860 Lessan,9,7,,650,2,1300,4550,
3883 Lessan,4,4,,620,0,0,2480,
3903 Lessan,14,14,,620,0,0,8680,
3911 Lessan,7,6,,620,1,620,3720,
3917 Lessan,12,12,,610,0,0,7320,
3944 Lessan,9,7,,720,2,1440,5040,
3979 Lessan,14,13,,600,1,600,7800,
3992 Lessan,3,2,,750,1,750,1500,
4005 Lessan,6,6,,550,0,0,3300,
4010 Lessan,14,14,,590,0,0,8260,
4024 Lessan,10,10,,790,0,0,7900,
4026 Lessan,10,10,,799,0,0,7990,
4031 Lessan,5,5,,790,0,0,3950,
4035 Lessan,7,7,,720,0,0,5040,
4036 Lessan,13,13,,620,0,0,8060,
4037 Lessan,9,9,,750,0,0,6750,
4042 Lessan,3,3,,700,0,0,2100,
4059 Lessan,2,2,,680,0,0,1360,
4063 Lessan,2,2,,730,0,0,1460,
4068 Lessan,6,6,,650,0,0,3900,
4075 Lessan,4,4,,660,0,0,2640,
4079 Lessan,10,8,,800,2,1600,6400,
4081 Lessan,10,9,,680,1,680,6120,
4082 Lessan,8,7,,620,1,620,4340,
4089 Lessan,11,10,,500,1,500,5000,
4094 Lessan,13,12,,750,1,750,9000,
4109 Lessan,2,2,,600,0,0,1200,
4113 Lessan,7,7,,650,0,0,4550,
4119 Lessan,15,15,,660,0,0,9900,
4125 Lessan,7,6,,770,1,770,4620,
4129 Lessan,3,3,,1180,0,0,3540,
4133 Lessan,2,2,,680,0,0,1360,
4138 Lessan,4,3,,680,1,680,2040,
4139 Lessan,7,5,,650,2,1300,3250,
4206 Lessan,8,8,,800,0,0,6400,
14026 Lessan,15,15,,630,0,0,9450,
14028 Lessan,11,10,,550,1,550,5500,
14033 Lessan,10,9,,630,1,630,5670,
14035 Lessan,11,10,,570,1,570,5700,
14036 Lessan,9,5,,620,4,2480,3100,
14037 Lessan,14,13,,620,1,620,8060,
14039 Lessan,13,11,,620,2,1240,6820,
14042 Lessan,3,3,,929,0,0,2787,
,,,,,0,0,0,
MV-E-emma valde,3,0,3,500,0,0,0,
MUCN Ema Valde,6,1,5,399,0,0,399,
Z7025 Ema Valde,10,9,,399,1,399,3591,
1631 Ema Vlde,4,2,,250,2,500,500,
5042 Ema Valde,8,7,,300,1,300,2100,
5200 Ema Valde,1,1,,500,0,0,500,
6062 Ema Valde,1,1,,1000,0,0,1000,
6132 Ema Valde,1,1,,250,0,0,250,
6133 Ema Valde,9,7,,250,2,500,1750,
6244 Ema Valde,15,15,,400,0,0,6000,
6249 Ema Valde,4,4,,400,0,0,1600,
6505 Ema Valde,1,1,,500,0,0,500,
7045 Ema Valde,1,1,,1000,0,0,1000,
7102 Ema Valde,4,4,,400,0,0,1600,
7104 Ema Valde,2,2,,400,0,0,800,
7114 Ema Valde,5,5,,400,0,0,2000,
7118 Ema Valde,11,11,,400,0,0,4400,
7130 Ema Valde,4,4,,400,0,0,1600,
7211 Ema Valde,4,4,,400,0,0,1600,
7242 Ema Valde,4,4,,400,0,0,1600,
7243 Ema Valde,6,6,,400,0,0,2400,
7249 Ema Valde,3,3,,400,0,0,1200,
7304 Ema Valde,5,5,,400,0,0,2000,
7324 Ema Valde,5,5,,400,0,0,2000,
7342 Ema Valde,4,3,,400,1,400,1200,
13010 Ema Valde,1,1,,500,0,0,500,
13338 Ema Valde,1,0,1,500,0,0,0,
15103 Ema Valde,1,0,1,500,0,0,0,
15544 Ema Valde,1,1,,500,0,0,500,
16248 Ema Valde,1,1,,1000,0,0,1000,
16154 Ema Valde,1,1,,1000,0,0,1000,
16182 Ema Valde,1,1,,1200,0,0,1200,
16191 Ema Valde,1,1,,1200,0,0,1200,
16266 Ema Valde,3,3,,1200,0,0,3600,
16285 Ema Valde,1,1,,1000,0,0,1000,
16299 Ema Valde,1,0,1,500,0,0,0,
16308 Ema Valde,1,1,,1200,0,0,1200,
16319 Ema Valde,1,1,,500,0,0,500,
16320 Ema Valde,1,1,,1000,0,0,1000,
16323 Ema Valde,1,1,,1000,0,0,1000,
16344 Ema Valde,1,0,1,500,0,0,0,
16370 Ema Valde,5,5,,1200,0,0,6000,
16408 Ema Valde,1,1,,500,0,0,500,
16421 Ema Valde,2,0,2,500,0,0,0,
16427 Ema Valde,1,1,,1200,0,0,1200,
16448 Ema Valde,3,0,3,1500,0,0,0,
16477 Ema Valde,1,1,,1000,0,0,1000,
16507 Ema Valde,2,2,,1900,0,0,3800,
16661 Ema Valder,1,1,,500,0,0,500,
16641 Ema Valde,3,0,3,500,0,0,0,
17069 Ema Valde,1,1,,1700,0,0,1700,
17116 Ema Valde,3,3,,1900,0,0,5700,
17182 Ema Valde,3,3,,2000,0,0,6000,
17217 Ema Valde,2,2,,1600,0,0,3200,
17231 Ema Valde,10,9,,1900,1,1900,17100,
17235 Ema Valde,3,2,,1900,1,1900,3800,
17241 Ema Valde,2,2,,1900,0,0,3800,
17243 Ema Valde,4,3,,1200,1,1200,3600,
17252 Ema Valde,5,4,,1700,1,1700,6800,
17258 Ema Valde,4,4,,1900,0,0,7600,
25230 Ema Valde,1,1,,500,0,0,500,
25264 Ema Valde,1,0,1,500,0,0,0,
,,,,,0,0,0,
036 Cocoon,9,9,,115,0,0,1035,
1116 Cocoon,21,19,,90,2,180,1710,copas silic
1119 Cocoon,6,5,1,115,0,0,575,
1025 Cocoon,33,32,,135,1,135,4320,copas tela
1403 Cocoon,4,4,,75,0,0,300,
1425 Cocoon,64,63,,210,1,210,13230,Nedly
1881 Cocoon,2,2,,100,0,0,200,
,,,,,0,0,0,
103 D moseli,1,1,,450,0,0,450,
117 D moseli ,10,9,,250,1,250,2250,
1777 Libertad,3,3,,250,0,0,750,
,,,,,0,0,0,
0086 Libertad,11,10,,600,1,600,6000,
1122 Libertad,20,18,,550,2,1100,9900,
1129 Libertad,8,8,,600,0,0,4800,
1131 Libertad,4,4,,600,0,0,2400,
1132 Libertad,7,7,,600,0,0,4200,
1220 Libertad,30,27,,650,3,1950,17550,
1240 Libertad,36,31,,600,5,3000,18600,
1449 Libertad,8,5,,600,3,1800,3000,
1551 Libertad,9,9,,600,0,0,5400,
1553 Libertad,5,5,,600,0,0,3000,
1554 Libertad,16,15,,600,1,600,9000,
1665 Libertad,8,8,,650,0,0,5200,
,,,,,0,0,0,
9070 Eli Corame,12,10,,500,2,1000,5000,
9032 Eli Corame,16,12,,500,4,2000,6000,
9040 Eli Corame,4,4,,500,0,0,2000,
9071 Eli Corame,9,8,,600,1,600,4800,
9080 Eli Corame,8,8,,560,0,0,4480,
9088 Eli Corame,4,4,,500,0,0,2000,
9099 Eli Corame,0,0,,600,0,0,0,
9112 Eli Corame,11,11,,500,0,0,5500,
9100 Eli Corame,17,14,,600,3,1800,8400,
9101 Eli Corame ,4,4,,600,0,0,2400,
9110 Eli Corame,1,0,,600,1,600,0,
9121 Eli Corame,6,5,,650,1,650,3250,
9099 Elia Corame,3,3,,600,0,0,1800,
9201 Eli Corame,6,6,,600,0,0,3600,
