Mod.,Pza.mes ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
148 Bianchi,1,1,,"1,680",0,0,"1,680",
182 Bianchi,8,5,,"1,000",3,"3,000","5,000",
262 Bianchi,7,6,,"1,200",1,"1,200","7,200",
264 Bianchi,1,1,,"1,150",0,0,"1,150",
266 Bianchi,5,4,,"1,000",1,"1,000","4,000",
274 Bianchi,5,5,,"1,180",0,0,"5,900",
276 Bianchi,4,4,,520,0,0,"2,080",
282 Bianchi,3,3,,890,0,0,"2,670",
296 Bianchi,2,1,,"1,450",1,"1,450","1,450",
306 Bianchi,6,6,,"1,180",0,0,"7,080",
322 Bianchi,4,3,,950,1,950,"2,850",
324 Bianchi,2,2,,"1,180",0,0,"2,360",
332 Bian.,1,0,,"1,100",1,"1,100",0,
332 Bian.,1,1,,350,0,0,350,
338 Bianchi,1,1,,"1,130",0,0,"1,130",
344 Bianchi,12,12,,850,0,0,"10,200",
346 Bianchi,1,1,,800,0,0,800,
352 Bianchi,4,3,,350,1,350,"1,050",
356 Bianchi,9,7,,"1,200",2,"2,400","8,400",
362 Bianchi,7,4,,"1,200",3,"3,600","4,800",
374 Bianchi,2,2,,"1,000",0,0,"2,000",
380 Bianchi,8,7,,"1,180",1,"1,180","8,260",
398 Bianchi,0,0,,"1,100",0,0,0,
400 Bianchi,1,0,,"1,000",1,"1,000",0,
432 Bianchi,1,1,,"1,230",0,0,"1,230",a Bianca 27jul
444 Bianchi,11,9,,"1,100",2,"2,200","9,900",
450 Bianchi,0,0,,900,0,0,0,
466 Bianchi,3,1,,"1,300",2,"2,600","1,300",
482 Bianchi,1,1,,"1,100",0,0,"1,100",
484 Bianchi,1,1,,950,0,0,950,
506 Bianchi,9,7,,"1,200",2,"2,400","8,400",
508 Bianchi,6,6,,900,0,0,"5,400",
514 Bianchi,9,9,,"1,100",0,0,"9,900",
530 Bianchi,2,1,,950,1,950,950,
580 Bianchi,1,1,,"1,200",0,0,"1,200",
604 Bianchi,11,10,,"1,200",1,"1,200","12,000",
616 Bianchi,10,8,,"1,000",2,"2,000","8,000",
620 Bianchi,1,1,,"1,100",0,0,"1,100",
626 Bianchi,6,5,,900,1,900,"4,500",
634 Bianchi,10,4,,"1,100",6,"6,600","4,400",
640 Bianchi,6,4,,"1,200",2,"2,400","4,800",518
640 Bianchi,5,4,,"1,200",1,"1,200","4,800",
698 Bianchi,0,0,,960,0,0,0,
702 Bianchi,21,12,1,860,8,"6,880","10,320",
706 Biachi,5,1,,950,4,"3,800",950,
726 Bianchi,3,3,,"1,350",0,0,"4,050",
762 Bianchi,8,6,,"1,150",2,"2,300","6,900",
772 Bianchi,11,2,,950,9,"8,550","1,900",
774 Bianchi,10,9,,880,1,880,"7,920",
776 Bianchi,1,1,,"1,200",0,0,"1,200",
840 Bianchi,13,3,,"1,050",10,"10,500","3,150",
860 Bianchi,5,3,,"1,100",2,"2,200","3,300",
874 Bianchi,5,3,1,"1,150",1,"1,150","3,450",
1246 Bianchi,1,1,,"1,180",0,0,"1,180",
1342 Bianchi,1,1,,900,0,0,900,
1518 Bianchi,10,7,,"1,200",3,"3,600","8,400",
3999 Bianchi,1,1,,250,0,0,250,
4271 Bianchi,2,2,,735,0,0,"1,470",
4393 Bianchi,1,1,,200,0,0,200,
4497 Bianchi,15,15,,630,0,0,"9,450",
4735 Bianchi,3,3,,500,0,0,"1,500",
4839 Bianchi,12,11,,850,1,850,"9,350",
4877 Bianchi,5,5,,735,0,0,"3,675",
5061 Bianchi,4,4,,200,0,0,800,
5131 Bianchi,1,1,,100,0,0,100,
5367 Bianchi,3,3,,100,0,0,300,rebaja
5395 Bianchi,2,2,,630,0,0,"1,260",
5405 Bianch B,2,2,,50,0,0,100,
5459 Bianchi,4,4,,150,0,0,600,rebaja
5497 Bianchi,1,1,,350,0,0,350,
5565 Bianchi,1,1,,200,0,0,200,
5575 Bianchi,2,2,,300,0,0,600,
5577 Bianchi,0,0,,100,0,0,0,rebaja
5601 Bianchi,1,1,,100,0,0,100,
5687 Bianchi,2,2,,450,0,0,900,
5695 Bianchi,3,3,,"1,050",0,0,"3,150",2abian27abril
5697 Bianchi,4,4,,600,0,0,"2,400",
5727 Bianchi,1,1,,100,0,0,100,rebaja
5733 Bianchi,1,1,,100,0,0,100,rebaja
5777 Bianchi,2,2,,250,0,0,500,bajo Emilio
5813 Bianchi,1,1,,250,0,0,250,
5863 Bianchi,1,1,,550,0,0,550,
5935 Bianchi,1,1,,300,0,0,300,
5939 Bianchi,5,5,,650,0,0,"3,250",bajo Emilio
5961 Bianchi,2,2,,200,0,0,400,bajo Emilio
5967 Bianchi,1,1,,100,0,0,100,rebaja
5977 Bianchi,1,1,,100,0,0,100,rebaja
6039 Bianchi,2,2,,100,0,0,200,rebaja
6077 Bianchi,1,1,,200,0,0,200,
6195 Bianchi,4,4,,250,0,0,"1,000",bajo Claudia
6205 Bianchi,1,1,,200,0,0,200,bajo Emilio
6355 Bianchi,5,5,,250,0,0,"1,250",bajo Claudia
6377 Bianchi,2,2,,100,0,0,200,bajo Emilio
6395 Bianchi,1,1,,950,0,0,950,
6411 Bianchi,1,1,,400,0,0,400,
6417 Bianchi,2,2,,350,0,0,700,bajo Emilio
6433 Bianchi,1,1,,200,0,0,200,bajo Emilio
6473 Bianchi,2,2,,630,0,0,"1,260",
6485 Bianchi,3,3,,950,0,0,"2,850",
6511 Bianchi,3,3,,650,0,0,"1,950",
6521 Bianchi,0,0,,250,0,0,0,bajo Emilio
6549 Bianchi,2,2,,500,0,0,"1,000",
6553 Bianchi,1,1,,250,0,0,250,bajo Emilio
6605 Bianchi,5,5,,630,0,0,"3,150",
6621 Bianchi,2,2,,350,0,0,700,
6685 Bianchi,2,0,,900,2,"1,800",0,
6729 Bianchi,1,1,,450,0,0,450,
6771 Bianchi ,5,5,,"1,000",0,0,"5,000",
6787 Bianchi,1,1,,250,0,0,250,
6797 Bianchi ,1,1,,600,0,0,600,
6803 Bianchi,3,1,,750,2,"1,500",750,
6863 Bianchi ,1,1,,600,0,0,600,
6895 Bianchi,2,2,,500,0,0,"1,000",
6905 Bianchi,2,2,,250,0,0,500,
6919 Bianchi,5,5,,600,0,0,"3,000",
6957 Bianchi,0,0,,400,0,0,0,
6971 Bianchi,0,0,,400,0,0,0,
7003 Bianchi,4,4,,570,0,0,"2,280",
7011 Bianchi,1,1,,500,0,0,500,
7047 Bianchi,3,3,,800,0,0,"2,400",
7055 Bianchi,2,2,,672,0,0,"1,344",
7057 Bianchi,5,5,,500,0,0,"2,500",
7071 Bianchi,11,9,,700,2,"1,400","6,300",
7083 Bianchi,8,8,,840,0,0,"6,720",
7087 Bianchi,4,4,,720,0,0,"2,880",
7111 Bianchi,2,2,,675,0,0,"1,350",
7115 Bianchi,2,2,,"1,050",0,0,"2,100",
7123 Bianchi,2,2,,"1,250",0,0,"2,500",
7161 Bianchi ,2,1,,576,1,576,576,
7179 Bianchi,3,3,,700,0,0,"2,100",
7181 Bianchi,2,2,,"1,050",0,0,"2,100",
7193 Bianchi,1,1,,525,0,0,525,
7221 Bianchi ,1,1,,630,0,0,630,
7227 Bianchi,2,2,,980,0,0,"1,960",
7225 Bianchi,2,2,,950,0,0,"1,900",
7245 Bianchi,1,1,,980,0,0,980,
7275 Bianchi,2,2,,450,0,0,900,
7279 Bianchi,1,1,,450,0,0,450,
7317 Bianchi,2,2,,735,0,0,"1,470",
7337 Bianchi,1,1,,550,0,0,550,
7401 Bianchi,2,2,,"1,050",0,0,"2,100",
7431 Bianchi,0,0,,"1,200",0,0,0,
7443 Bianchi,3,2,,600,1,600,"1,200",
7507 Bianchi,3,3,,600,0,0,"1,800",
7565 Bianchi,1,1,,450,0,0,450,
7573 Bianchi,1,1,,900,0,0,900,
7599 Bianchi,9,6,,"1,020",3,"3,060","6,120",
7605 Bianchi,4,3,,630,1,630,"1,890",
7611 Bianchi,2,2,,500,0,0,"1,000",**que bajo a 550
7647 Bianchi,1,1,,950,0,0,950,
7663 Bianchi,1,1,,400,0,0,400,
7685 Bianchi,2,2,,850,0,0,"1,700",
7703 Bianchi,2,2,,486,0,0,972,
7715 Bianchi,1,1,,"1,000",0,0,"1,000",
7721 Bianchi,1,1,,800,0,0,800,
7749 Bianchi,1,1,,"1,200",0,0,"1,200",
7755 Bianchi,11,7,,500,4,"2,000","3,500",
7761 Bianchi,6,6,,"1,000",0,0,"6,000",
7765 Bianchi,3,2,,800,1,800,"1,600",
7799 Bianchi,4,1,,250,3,750,250,
7803 Bianchi,1,1,,850,0,0,850,
7807 Bianchi,1,1,,"1,200",0,0,"1,200",
7837 Bianchi,4,3,,350,1,350,"1,050",
7839 Bianchi,1,1,,780,0,0,780,
7877 Bianchi,1,1,,850,0,0,850,
7895 Bianchi,3,2,,850,1,850,"1,700",
7899 Bianchi,2,2,,675,0,0,"1,350",
7903 Bianchi,2,2,,950,0,0,"1,900",
8007 Bianchi,5,5,,575,0,0,"2,875",
8089 Bianchi,1,1,,"1,100",0,0,"1,100",
8093 Bianchi,3,3,,900,0,0,"2,700",
8097 Bianchi,2,2,,"1,065",0,0,"2,130",
8099 Bianchi,3,2,,850,1,850,"1,700",
8145 Bianchi,7,7,,"1,100",0,0,"7,700",81451
8153 Bianchi,2,2,,900,0,0,"1,800",
8161 Bianchi,1,0,,500,1,500,0,
8167 Bianchi,1,1,,950,0,0,950,
8203 Bianchi,10,10,,350,0,0,"3,500",
8207 Bianchi,0,0,,"1,100",0,0,0,aBianca29jul
8211 Bianchi,4,2,,350,2,700,700,
8245 Bianchi,1,1,,750,0,0,750,
8291 Bianchi,4,4,,790,0,0,"3,160",
8345 Bianchi,0,0,,"1,000",0,0,0,
8397N Bianchi,1,1,,270,0,0,270,rebaja 
8401 Bianchi,1,1,,735,0,0,735,
8413 Bianchi,1,1,,100,0,0,100,rebaja
8519 Bianchi,15,14,,"1,100",1,"1,100","15,400",
8533 Bianchi,2,2,,650,0,0,"1,300",
8535 Bianchi,5,5,,"1,100",0,0,"5,500",
8547 Bianchi,5,5,,"1,150",0,0,"5,750",
8571 Bianchi,7,2,,900,5,"4,500","1,800",
8607 Bianchi,12,6,,"1,000",6,"6,000","6,000",
8613 Bianchi,0,0,,"1,000",0,0,0,
8615 Bianchi,20,16,,990,4,"3,960","15,840",
8653 Bianchi,10,5,,950,5,"4,750","4,750",
8659 Bianchi,11,8,,900,3,"2,700","7,200",
8679 Bianchi,27,7,,950,20,"19,000","6,650",
8691 Bianchi,10,7,,"1,100",3,"3,300","7,700",
8721 Bianchi,10,6,,"1,050",4,"4,200","6,300",
8753 Bianchi,14,9,,950,5,"4,750","8,550",
8775 Bianchi,5,5,,"1,100",0,0,"5,500",
8784 Bianchi,12,8,,"1,200",4,"4,800","9,600",
8797 Bianchi,5,3,,"1,100",2,"2,200","3,300",
8827 Bianchi,8,4,,910,4,"3,640","3,640",
18515 Bianchi,10,6,,"1,100",4,"4,400","6,600",
18629 Bianchi,5,4,,990,1,990,"3,960",
56951 Bianchi,2,2,,700,0,0,"1,400",
1025 Cocoon,0,0,,100,0,0,0,
1116 Cocoon,0,0,,105,0,0,0,
1009 Cocoon,0,0,,90,0,0,0,
CDC-1780 Nyx,1,1,,"1,300",0,0,"1,300",1 NUESTRO
NA-2112 Nyx,1,1,,"1,500",0,0,"1,500",nuestro
NA-2526 Nyx,1,1,,"1,500",0,0,"1,500",1 NUESTRO
SP-1075-A Nyx,1,1,,"1,500",0,0,"1,500",nuestro
Capitas_Clau,6,6,,100,0,0,600,
Clau_Chal_bor,6,6,,200,0,0,"1,200",
Chal-tafeta,1,1,,100,0,0,100,
Chal-agua,3,3,,80,0,0,240,
CHAL-EVE,4,3,,70,1,70,210,
Chal-shifón,10,9,,60,1,60,540,
bolerito,14,14,,60,0,0,840,
Bolero,117,117,,120,0,0,"14,040",
Saco_shifón,30,30,,150,0,0,"4,500",
COPAS,0,0,,150,0,0,0,
Zapatos,3,3,,0,0,0,0,
