Mod.,Pza.mes ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
148 Bianchi,3,2,,1680,1,1680,3360,
182 Bianchi,5,5,,500,0,0,2500,
262 Bianchi,9,7,,600,2,1200,4200,
264 Bianchi,1,1,,1150,0,0,1150,
266 Bianchi,3,3,,1000,0,0,3000,
274 Bianchi,4,4,,1180,0,0,4720,
276 Bianchi,4,4,,520,0,0,2080,
282 Bianchi,2,2,,623,0,0,1246,
296 Bianchi,1,1,,1450,0,0,1450,
306 Bianchi,5,5,,840,0,0,4200,
322 Bianchi,3,3,,665,0,0,1995,
324 Bianchi,2,2,,826,0,0,1652,
332 Bianchi,0,0,,1100,0,0,0,
332 Bianchi,0,0,,350,0,0,0,
338 Bianchi,1,1,,1130,0,0,1130,
344 Bianchi,11,10,,850,1,850,8500,
346 Bianchi,1,1,,800,0,0,800,
352 Bianchi,2,2,,245,0,0,490,
356 Bianchi,7,7,,600,0,0,4200,
362 Bianchi,1,1,,840,0,0,840,
374 Bianchi,2,2,,700,0,0,1400,
380 Bianchi,6,6,,1180,0,0,7080,
432 Bianchi,1,1,,1230,0,0,1230,a Bianca 27jul
444 Bianchi,9,9,,1100,0,0,9900,
482 Bianchi,1,1,,1100,0,0,1100,
484 Bianchi,1,1,,756,0,0,756,
506 Bianchi,3,3,,1200,0,0,3600,
508 Bianchi,5,0,,300,5,1500,0,
514 Bianchi,11,11,,770,0,0,8470,
530 Bianchi,1,1,,665,0,0,665,
580 Bianchi,3,3,,600,0,0,1800,
604 Bianchi,8,7,,1200,1,1200,8400,
616 Bianchi,7,6,,1000,1,1000,6000,
620 Bianchi,1,1,,1100,0,0,1100,
626 Bianchi,4,4,,900,0,0,3600,
634 Bianchi,4,4,,1100,0,0,4400,
640A Bianchi,4,3,,1200,1,1200,3600,518
640 Bianchi,1,1,,840,0,0,840,
662 Bianchi,5,4,,600,1,600,2400,
700 Bianchi,8,1,,630,7,4410,630,
702 Bianchi,7,7,,860,0,0,6020,
726 Bianchi,2,2,,1350,0,0,2700,
748 Bianchi,10,10,,630,0,0,6300,
762 Bianchi,5,5,,1150,0,0,5750,
766 Bianchi,5,5,,560,0,0,2800,
768 Bianchi,5,4,,875,1,875,3500,
772 Bianchi,1,1,,665,0,0,665,
774 Bianchi,11,10,,880,1,880,8800,
776 Bianchi,1,1,,840,0,0,840,
814 Bianchi,5,5,,1000,0,0,5000,
840 Bianchi,2,2,,525,0,0,1050,
858 Bianchi,5,5,,1000,0,0,5000,
860 Bianchi,6,5,,1100,1,1100,5500,
864 Bianchi,8,6,,1100,2,2200,6600,
872 Bianchi,4,3,,800,1,800,2400,
874 Bianchi,3,3,,1150,0,0,3450,
892 Bianchi,5,5,,800,0,0,4000,
924 Bianchi,10,10,,1300,0,0,13000,
942 Bianchi,5,5,,1200,0,0,6000,
944 Bianchi,5,2,,1150,3,3450,2300,
954 Bianchi,9,8,,1115,1,1115,8920,
1246 Bianchi,1,1,,1180,0,0,1180,
1342 Bianchi,1,1,,900,0,0,900,
1518 Bianchi,6,5,,1200,1,1200,6000,
1706 Bianchi,5,3,,1000,2,2000,3000,
2518 Bianchi,4,4,,1200,0,0,4800,
3999 Bianchi,1,1,,250,0,0,250,
4271 Bianchi,2,2,,735,0,0,1470,
4393 Bianchi,1,1,,200,0,0,200,
4497 Bianchi,12,12,,630,0,0,7560,
4735 Bianchi,3,3,,350,0,0,1050,
4839 Bianchi,11,11,,595,0,0,6545,
4877 Bianchi,5,5,,367,0,0,1835,
5061 Bianchi,4,4,,200,0,0,800,
5131 Bianchi,1,1,,100,0,0,100,
5367 Bianchi,3,3,,100,0,0,300,rebaja
5395 Bianchi,2,2,,630,0,0,1260,
5405 Bianch ,2,2,,50,0,0,100,
5459 Bianchi,4,4,,150,0,0,600,rebaja
5497 Bianchi,1,1,,350,0,0,350,
5565 Bianchi,1,1,,200,0,0,200,
5575 Bianchi,2,2,,300,0,0,600,
5601 Bianchi,1,1,,100,0,0,100,
5687 Bianchi,2,2,,450,0,0,900,
5695 Bianchi,3,3,,525,0,0,1575,2abian27abril
5697 Bianchi,4,4,,600,0,0,2400,
5727 Bianchi,1,1,,100,0,0,100,rebaja
5733 Bianchi,1,1,,100,0,0,100,rebaja
5777 Bianchi,2,2,,250,0,0,500,bajo Emilio
5813 Bianchi,1,1,,250,0,0,250,
5863 Bianchi,1,1,,550,0,0,550,
5935 Bianchi,1,1,,300,0,0,300,
5939 Bianchi,5,5,,650,0,0,3250,bajo Emilio
5961 Bianchi,2,2,,200,0,0,400,bajo Emilio
5967 Bianchi,1,1,,100,0,0,100,rebaja
5977 Bianchi,1,1,,100,0,0,100,rebaja
6039 Bianchi,2,2,,100,0,0,200,rebaja
6077 Bianchi,1,1,,200,0,0,200,
6195 Bianchi,4,4,,250,0,0,1000,bajo Claudia
6355 Bianchi,5,5,,125,0,0,625,bajo Claudia
6377 Bianchi,2,2,,100,0,0,200,bajo Emilio
6395 Bianchi,1,1,,475,0,0,475,
6411 Bianchi,1,1,,400,0,0,400,
6417 Bianchi,2,2,,175,0,0,350,bajo Emilio
6433 Bianchi,1,1,,200,0,0,200,bajo Emilio
6473 Bianchi,2,2,,630,0,0,1260,
6485 Bianchi,3,3,,475,0,0,1425,
6511 Bianchi,3,3,,325,0,0,975,
6521 Bianchi,1,1,,250,0,0,250,bajo Emilio
6549 Bianchi,2,2,,500,0,0,1000,
6553 Bianchi,1,1,,250,0,0,250,bajo Emilio
6605 Bianchi,5,5,,315,0,0,1575,
6621 Bianchi,1,1,,350,0,0,350,
6729 Bianchi,1,1,,450,0,0,450,
6771 Bianchi ,5,5,,700,0,0,3500,
6787 Bianchi,1,1,,250,0,0,250,
6797 Bianchi ,1,1,,600,0,0,600,
6803 Bianchi,1,1,,750,0,0,750,
6863 Bianchi ,1,1,,600,0,0,600,
6895 Bianchi,1,1,,500,0,0,500,
6905 Bianchi,2,2,,250,0,0,500,
6919 Bianchi,5,5,,420,0,0,2100,
6957 Bianchi,1,1,,400,0,0,400,
7003 Bianchi,4,4,,342,0,0,1368,
7011 Bianchi,1,1,,500,0,0,500,
7047 Bianchi,3,3,,480,0,0,1440,
7055 Bianchi,2,2,,470,0,0,940,
7057 Bianchi,5,5,,350,0,0,1750,
7071 Bianchi,9,9,,700,0,0,6300,
7083 Bianchi,8,8,,588,0,0,4704,
7087 Bianchi,4,4,,504,0,0,2016,
7111 Bianchi,2,2,,675,0,0,1350,
7115 Bianchi,2,2,,735,0,0,1470,
7123 Bianchi,2,2,,1250,0,0,2500,
7161 Bianchi ,1,1,,576,0,0,576,
7179 Bianchi,3,3,,490,0,0,1470,
7181 Bianchi,2,2,,1050,0,0,2100,
7193 Bianchi,1,1,,525,0,0,525,
7221 Bianchi ,1,1,,630,0,0,630,
7227 Bianchi,2,2,,980,0,0,1960,
7225 Bianchi,2,2,,950,0,0,1900,
7245 Bianchi,1,1,,980,0,0,980,
7275 Bianchi,2,2,,450,0,0,900,
7279 Bianchi,1,1,,450,0,0,450,
7317 Bianchi,2,2,,735,0,0,1470,
7337 Bianchi,1,1,,550,0,0,550,
7401 Bianchi,2,2,,1050,0,0,2100,
7431 Bianchi,0,0,,1200,0,0,0,
7443 Bianchi,2,2,,600,0,0,1200,
7507 Bianchi,3,3,,420,0,0,1260,
7565 Bianchi,1,1,,450,0,0,450,
7573 Bianchi,1,1,,900,0,0,900,
7599 Bianchi,5,4,,615,1,615,2460,
7605 Bianchi,7,4,,315,3,945,1260,
7611 Bianchi,2,1,,500,1,500,500,**que bajo a 550
7647 Bianchi,1,1,,950,0,0,950,
7663 Bianchi,1,1,,400,0,0,400,
7685 Bianchi,2,2,,850,0,0,1700,
7703 Bianchi,2,2,,486,0,0,972,
7715 Bianchi,1,1,,1000,0,0,1000,
7721 Bianchi,1,1,,800,0,0,800,
7749 Bianchi,1,1,,840,0,0,840,
7755 Bianchi,4,4,,500,0,0,2000,
7761 Bianchi,6,6,,500,0,0,3000,
7765 Bianchi,2,2,,400,0,0,800,
7799 Bianchi,1,1,,250,0,0,250,
7803 Bianchi,1,1,,850,0,0,850,
7807 Bianchi,1,0,,1200,1,1200,0,
7837 Bianchi,1,1,,350,0,0,350,
7839 Bianchi,1,1,,780,0,0,780,
7877 Bianchi,1,1,,425,0,0,425,
7895 Bianchi,1,1,,850,0,0,850,
7899 Bianchi,2,2,,337,0,0,674,
7903 Bianchi,2,2,,665,0,0,1330,
8007 Bianchi,3,2,,287,1,287,574,
8089 Bianchi,1,1,,550,0,0,550,
8093 Bianchi,2,2,,630,0,0,1260,
8097 Bianchi,1,1,,1065,0,0,1065,
8099 Bianchi,2,2,,850,0,0,1700,
8145 Bianchi,7,6,,1100,1,1100,6600,81451
8153 Bianchi,2,2,,900,0,0,1800,
8167 Bianchi,1,1,,950,0,0,950,
8203 Bianchi,10,10,,350,0,0,3500,
8211 Bianchi,2,2,,245,0,0,490,
8253 Bianchi,10,8,,600,2,1200,4800,
8291 Bianchi,4,4,,790,0,0,3160,
8401 Bianchi,1,1,,735,0,0,735,
8413 Bianchi,1,1,,100,0,0,100,rebaja
8499 Bianchi,4,3,,880,1,880,2640,
8519 Bianchi,18,17,,630,1,630,10710,
8535 Bianchi,10,10,,700,0,0,7000,
8547 Bianchi,3,3,,805,0,0,2415,
8571 Bianchi,5,3,,1050,2,2100,3150,
8581 Bianchi,5,4,,630,1,630,2520,
8591 Bianchi,5,2,,650,3,1950,1300,
8607 Bianchi,6,4,,1000,2,2000,4000,
8613 Bianchi,16,10,,1000,6,6000,10000,
8615 Bianchi,12,10,,990,2,1980,9900,
8653 Bianchi,6,6,,950,0,0,5700,
8659 Bianchi,5,5,,630,0,0,3150,
8663 Bianchi,5,2,,1000,3,3000,2000,
8669 Bianchi,4,3,,1100,1,1100,3300,
8679 Bianchi,5,5,,950,0,0,4750,
8691 Bianchi,4,4,,1100,0,0,4400,
8707 Bianchi,5,4,,1000,1,1000,4000,
8721 Bianchi,4,4,,1050,0,0,4200,
8729 Bianchi,10,8,,700,2,1400,5600,
8753 Bianchi,8,8,,950,0,0,7600,
8775 Bianchi,9,7,,1100,2,2200,7700,
8784 Bianchi,16,16,,1200,0,0,19200,
8797 Bianchi,4,4,,770,0,0,3080,
8811 Bianchi,5,5,,800,0,0,4000,
8827 Bianchi,7,2,,910,5,4550,1820,
8833 Bianchi,7,6,,1100,1,1100,6600,
8841 Bianchi,10,10,,1050,0,0,10500,
8849 Bianchi,5,1,,1100,4,4400,1100,
8867 Bianchi,5,5,,1000,0,0,5000,
8875 Bianchi,5,4,,1200,1,1200,4800,
8891 Bianchi,5,3,,1000,2,2000,3000,
8895 Bianchi,10,8,,1100,2,2200,8800,
8901 Bianchi,5,3,,930,2,1860,2790,
8913 Bianchi,5,5,,1200,0,0,6000,
18515 Bianchi,8,5,,1100,3,3300,5500,
18629 Bianchi,8,8,,990,0,0,7920,
56951 Bianchi,2,2,,700,0,0,1400,
CDC-1780 Nyx,1,1,,1300,0,0,1300,1 NUESTRO
NA-2112 Nyx,1,1,,1500,0,0,1500,nuestro
NA-2526 Nyx,1,1,,1500,0,0,1500,1 NUESTRO
SP-1075-A Nyx,1,1,,1500,0,0,1500,nuestro